SIZE ; NuSMV ; Alt2 ; Main
2 ;0.55925 ; 0.83705 ; 2.76803 ;
3 ;0.05617 ; 0.21601 ; 0.26523 ;
4 ;0.10312 ; 0.26714 ; 0.34635 ;
5 ;0.15879 ; 0.31496 ; 0.45621 ;
6 ;0.26191 ; 0.48635 ; 0.53847 ;
7 ;0.43119 ; 0.92437 ; 0.69776 ;
8 ;0.94004 ; 1.52513 ; 1.28411 ;
9 ;3.74247 ; 15.22886 ; 5.27481 ;
10 ;98.38703 ; 56.60147 ; 32.06058 ; 
