SIZE ; NuSMV ; Alt2 ; Main 
2 ;0.72439 ; 1.07454 ; 3.12352 ; 
3 ;0.06509 ; 0.23928 ; 0.29178 ; 
4 ;0.13606 ; 0.30993 ; 0.38136 ; 
5 ;0.17784 ; 0.39429 ; 0.50664 ; 
6 ;0.31931 ; 0.54808 ; 0.64619 ; 
7 ;0.42875 ; 0.80560 ; 0.82780 ; 
8 ;1.07649 ; 3.15585 ; 1.48524 ; 
9 ;11.28612 ; 4.53394 ; 5.62937 ; 
10 ;50.85224 ; 64.99071 ; 44.02141 ; 


