SIZE ; NuSMV ; Alt2 ; Main 
2 ;0.51044 ; 0.75378 ; 8.93341 ; 
3 ;0.05741 ; 0.22256 ; 0.25916 ; 
4 ;0.09693 ; 0.27300 ; 0.31502 ; 
5 ;0.16703 ; 0.31817 ; 0.41773 ; 
6 ;0.26706 ; 0.46835 ; 0.54240 ; 
7 ;0.39358 ; 0.60575 ; 0.76933 ; 
8 ;1.07171 ; 1.35521 ; 5.39358 ; 
9 ;4.15690 ; 3.88925 ; 26.59044 ; 
10 ;39.66020 ; 421.82096 ; 72.18343 ; 


