Bound ; NuSMV ; Python 
0 ;0.01445 ; 0.18737 ; 
1 ;0.01455 ; 0.19234 ; 
2 ;0.01614 ; 0.19443 ; 
3 ;0.01887 ; 0.19880 ; 
4 ;0.02334 ; 0.20478 ; 
5 ;0.03187 ; 0.22275 ; 
6 ;0.04454 ; 0.24241 ; 
7 ;0.05938 ; 0.25925 ; 
8 ;0.07518 ; 0.28999 ; 
9 ;0.09555 ; 0.34001 ; 
10 ;0.13133 ; 0.37401 ; 
11 ;0.16146 ; 0.45805 ; 
12 ;0.15735 ; 0.44867 ; 
13 ;0.17066 ; 0.44719 ; 
14 ;0.15931 ; 0.43998 ; 
15 ;0.17338 ; 0.43737 ; 
16 ;0.17133 ; 0.42329 ; 
17 ;0.16520 ; 0.44436 ; 
18 ;0.14718 ; 0.43195 ; 
19 ;0.15462 ; 0.41170 ; 
20 ;0.15821 ; 0.43844 ; 
21 ;0.16942 ; 0.43646 ; 
22 ;0.18078 ; 0.44068 ; 
23 ;0.18539 ; 0.45314 ; 
24 ;0.15047 ; 0.43787 ; 
25 ;0.16824 ; 0.43855 ; 
26 ;0.17180 ; 0.43764 ; 
27 ;0.16292 ; 0.43593 ; 
28 ;0.18483 ; 0.41945 ; 
29 ;0.15160 ; 0.43335 ; 
30 ;0.16920 ; 0.42354 ; 


