Bound ; NuSMV ; Python
0;0,02432;0,20015
1;0,02153;0,19243
2;0,02316;0,20686
3;0,03077;0,22248
4;0,04373;0,24441
5;0,06699;0,27302
6;0,08884;0,30771
7;0,12144;0,35615
8;0,1583;0,42527
9;0,21521;0,49073
10;0,29579;0,61893
11;0,45446;0,74348
12;0,82935;1,25994
13;2,87513;2,84816
14;8,22932;7,17282
15;74,27148;60,98772
16;47,08305;87,33355
