SIZE ; NuSMV  ; Python + C (Lower interface)     ;Python (sec 4.1)
2;0,62538;0,94933;4,00258
3;0,06243;0,23682;0,28524
4;0,11574;0,30313;0,36809
5;0,18941;0,37239;0,48134
6;0,30268;0,52108;0,62604
7;0,45837;0,73465;0,90905
8;1,11263;1,4043;3,2871
9;6,76118;4,85111;9,759
10;44,5257;118,76401;57,31352
