SIZE ; NuSMV  ; Python + C (Lower interface)     ;Python (sec 4.1)
2;0,65804;0,97883;4,24293
3;0,06094;0,23018;0,28117
4;0,11611;0,29413;0,36504
5;0,17492;0,36161;0,56381
6;0,28469;0,50109;0,6038
7;0,43764;0,8081;0,80693
8;1,09851;1,8501;1,42418
9;7,01331;7,68538;5,22159
10;72,4222;70,53675;40,08318
