SIZE ; NuSMV ; Alt2 ; Main 
2 ;0.55501 ; 0.83933 ; 9.11482 ; 
3 ;0.05609 ; 0.22419 ; 0.26820 ; 
4 ;0.10341 ; 0.26758 ; 0.33450 ; 
5 ;0.14900 ; 0.31979 ; 0.41210 ; 
6 ;0.24685 ; 0.46113 ; 0.55248 ; 
7 ;0.40421 ; 0.60723 ; 0.79308 ; 
8 ;1.15143 ; 1.69635 ; 1.57294 ; 
9 ;7.33623 ; 7.66877 ; 5.41287 ; 
10 ;79.75992 ; 108.52234 ; 41.61317 ; 


