SIZE ; NuSMV ; Alt2 ; Main 
2 ;0.65883 ; 0.95564 ; 2.68437 ; 
3 ;0.06140 ; 0.23223 ; 0.28776 ; 
4 ;0.12560 ; 0.31279 ; 0.36523 ; 
5 ;0.17704 ; 0.36834 ; 0.46269 ; 
6 ;0.29126 ; 0.55317 ; 0.62458 ; 
7 ;0.52425 ; 0.90367 ; 0.91888 ; 
8 ;1.13014 ; 1.39722 ; 3.18522 ; 
9 ;4.68313 ; 4.06476 ; 4.59832 ; 
10 ;54.48260 ; 33.36421 ; 55.10756 ; 


