Nb Philo;Python (sec 4.1)             ;Python + C (Lower interface) ;NuSMV                        
2;2,6612;0,692;0,434
3;2,8718;0,8592;0,5946
4;3,1748;1,1366;0,8472
5;3,4462;1,3342;1,033
6;4,8818;1,5808;1,2652
7;3,929;1,689;1,4024
8;4,4808;2,107;1,8386
9;4,6732;2,1968;1,9698
10;5,08;2,5264;2,25
