Nb Philo;Python (sec 4.1)             ;Python + C (Lower interface) ;NuSMV                        
2;2,6612;0,8118;0,4424
3;2,8718;0,939;0,5624
4;3,1748;1,1906;0,79
5;3,4462;1,3722;0,927
6;4,8818;1,5906;1,1198
7;3,929;1,7358;1,2332
8;4,4808;2,1344;1,6266
9;4,6732;2,279;1,7214
10;5,08;2,7054;2,0168
