Size ; NuSMV   ; Alt2    ; Main    ;
2    ; 0.59771 ; 0.97098 ; 2.68049 ;
3    ; 0.06100 ; 0.23231 ; 0.28738 ;
4    ; 0.12127 ; 0.30682 ; 0.36479 ;
5    ; 0.17910 ; 0.39349 ; 0.46746 ;
6    ; 0.31054 ; 0.51796 ; 0.69068 ;
7    ; 0.48714 ; 0.79601 ; 1.09094 ;
8    ; 0.98443 ; 1.53460 ; 4.00711 ;
9    ; 6.16235 ; 5.67249 ; 6.16212 ;
10   ; 44.11617 ; 40.82700 ; 75.66409 ;
