10;6,21393;4,81295;3,8263;3,51046;3,18325;3,08254;2,66278;2,63409;2,52072
11;5,46531;4,4881;3,6823;3,03828;1,57358;2,69314;2,54386;2,40018;2,34663
12;5,28777;4,18388;3,31652;3,05452;2,71346;2,52935;2,29375;2,33011;2,18434
13;4,70623;3,73859;3,00863;2,68293;2,50881;2,40834;2,17536;2,08578;2,07927
14;4,34456;3,43409;2,79523;2,42941;2,37229;2,36111;2,08492;2,02715;1,90957
15;4,14009;3,32672;2,73634;2,33735;1,97375;2,29947;2,01731;1,8986;1,83209
16;3,89815;3,17918;2,68627;2,47859;2,18781;2,10961;1,92915;1,80468;1,77141
17;3,9563;3,23377;2,66091;2,42158;2,19933;2,18912;1,95829;1,95139;1,86841
18;3,75261;3,06771;2,60586;2,25749;2,03447;1,99916;1,85351;1,91742;1,77004
19;3,91853;3,12536;2,61588;2,32496;2,14153;2,11968;2,02205;1,99581;1,84039
20;4,4964;3,52837;2,66235;2,44547;2,2852;2,16109;1,90888;1,8942;1,88252
21;3,90527;3,51923;2,74526;2,4509;2,19804;2,15788;1,8697;1,88547;1,87994
22;4,26602;3,10762;0,70029;2,39775;2,13126;2,16516;1,92498;1,94791;1,8611
23;3,99043;3,33164;2,748;2,47311;2,28247;2,22151;2,02574;1,92535;1,84281
24;4,13705;3,38882;2,75109;2,51578;2,28605;2,22937;2,03663;1,95246;1,86736
25;4,20533;3,43916;2,81128;2,57232;2,29548;2,2667;2,01887;2,01178;1,88363
26;4,24347;3,95482;3,12894;2,46743;2,30354;2,26831;2,01289;1,86607;1,80798
27;4,30941;3,40872;2,90751;2,56639;2,33557;2,26981;1,95106;1,95125;1,89692
28;4,36382;3,55631;2,88641;2,65564;2,47953;2,31861;2,59358;2,09091;1,87724
29;4,34079;3,6141;3,02009;2,72211;2,6086;2,41498;2,22046;2,16067;1,98179
30;5,0318;5,8668;4,51865;4,11229;2,68132;3,28822;2,25106;2,68271;2,08347
