Bound ; NuSMV ; Python 
0 ;0.02172 ; 0.18476 ; 
1 ;0.02216 ; 0.18939 ; 
2 ;0.02092 ; 0.20334 ; 
3 ;0.02862 ; 0.21019 ; 
4 ;0.04332 ; 0.23303 ; 
5 ;0.05735 ; 0.27330 ; 
6 ;0.08455 ; 0.29984 ; 
7 ;0.10421 ; 0.33878 ; 
8 ;0.14471 ; 0.38386 ; 
9 ;0.18825 ; 0.46541 ; 
10 ;0.23099 ; 0.53716 ; 
11 ;0.33933 ; 0.66933 ; 
12 ;0.60671 ; 1.02713 ; 
13 ;1.11213 ; 1.95648 ; 
14 ;3.71851 ; 4.76236 ; 
15 ;5.79441 ; 17.47164 ; 
16 ;6.46781 ; 13.75895 ; 
17 ;2.88409 ; 17.28523 ; 
18 ;0.68510 ; 0.45681 ; 
19 ;0.47088 ; 0.38746 ; 
20 ;0.19115 ; 0.34073 ; 
21 ;0.18401 ; 0.21872 ; 
22 ;0.14604 ; 0.54678 ; 
23 ;0.03301 ; 0.09933 ; 
24 ;0.07062 ; 0.09519 ; 
25 ;0.07246 ; 0.10205 ; 
26 ;0.52778 ; 0.54680 ; 
27 ;0.03755 ; 0.09805 ; 
28 ;0.07204 ; 0.09487 ; 
29 ;0.07255 ; 0.09526 ; 
30 ;0.07350 ; 0.19698 ; 


