SIZE ; NuSMV ; Alt2 ; Main 
2 ;0.71793 ; 1.08412 ; 3.13205 ; 
3 ;0.06563 ; 0.23729 ; 0.28623 ; 
4 ;0.12045 ; 0.31675 ; 0.38408 ; 
5 ;0.19032 ; 0.40307 ; 0.95297 ; 
6 ;0.28139 ; 0.51624 ; 0.66150 ; 
7 ;0.46485 ; 0.91680 ; 0.89410 ; 
8 ;1.03181 ; 1.33769 ; 1.37075 ; 
9 ;5.19178 ; 5.88721 ; 4.81980 ; 
10 ;76.29228 ; 73.11996 ; 35.22006 ; 


