SIZE ; NuSMV ; Alt2 ; Main 
2 ;0.66491 ; 1.02533 ; 3.05805 ; 
3 ;0.06836 ; 0.26520 ; 0.30563 ; 
4 ;0.11230 ; 0.31399 ; 0.43575 ; 
5 ;0.19396 ; 0.40814 ; 0.57072 ; 
6 ;0.31902 ; 0.53239 ; 0.65478 ; 
7 ;0.44077 ; 0.67660 ; 0.83241 ; 
8 ;1.05976 ; 1.06280 ; 1.65200 ; 
9 ;10.10541 ; 4.68056 ; 5.70504 ; 
10 ;45.92213 ; 34.15420 ; 37.36279 ; 


